team_name,team_code,round,dayofweek,date,comp,venue,result,opponent,goals_for,goals_against,xg_for,xg_against,possession,attendance,captain,formation,referee,shots,shots_on_target,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,expected_goals,expected_goals_non_penalty,expected_goals_non_penalty_per_shot,expected_goals_net,expected_goals_non_penalty_net,shots_against,shots_on_target_against,shots_on_target_pct_against,goals_per_shot_against,goals_per_shot_on_target_against,average_shot_distance_against,shots_free_kicks_against,pens_made_against,pens_att_against,expected_goals_against,expected_goals_non_penalty_against,expected_goals_non_penalty_per_shot_against,expected_goals_net_against,expected_goals_non_penalty_net_against,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,sca_against,sca_passes_live_against,sca_passes_dead_against,sca_take_ons_against,sca_shots_against,sca_fouled_against,sca_defense_against,gca_against,gca_passes_live_against,gca_passes_dead_against,gca_take_ons_against,gca_shots_against,gca_fouled_against,gca_defense_against,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,cards_yellow_against,cards_red_against,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,ball_recoveries_against,aerials_won_against,aerials_lost_against,aerials_won_pct_against
Arsenal,18bb7c10,Matchweek 11,Sat,2023-11-04,EPL,Away,L,Newcastle Utd,0,1,0.6,1.0,58,"52,194",Jorginho,4-3-3,Stuart Attwell,14,1,7.1,0.00,0.00,20.7,0,0,0,0.6,0.6,0.04,-0.6,-0.6,9,1,11.1,0.11,1.00,18.6,0,0,0,1.0,1.0,0.14,0.0,0.0,24,19,2,1,2,0,0,0,0,0,0,0,0,0,17,13,0,1,3,0,0,1,0,0,0,1,0,0,1,0,0,9,14,1,25,7,8,0,0,0,40,14,13,51.9,5,0,0,14,9,2,10,7,11,0,0,0,35,13,14,48.1
Arsenal,18bb7c10,Matchweek 12,Sat,2023-11-11,EPL,Home,W,Burnley,3,1,1.8,0.3,63,"60,232",Jorginho,4-3-3,Michael Oliver,16,6,37.5,0.19,0.50,13.8,0,0,0,1.8,1.8,0.12,+1.2,+1.2,8,5,62.5,0.13,0.20,19.3,0,0,0,0.3,0.3,0.04,+0.7,+0.7,27,19,4,1,2,0,1,5,2,1,0,2,0,0,12,10,1,1,0,0,0,2,1,0,1,0,0,0,0,1,0,8,9,3,32,3,8,0,0,0,36,28,22,56.0,1,0,0,9,7,2,8,10,8,0,0,0,24,22,28,44.0
Arsenal,18bb7c10,Matchweek 13,Sat,2023-11-25,EPL,Away,W,Brentford,1,0,1.6,1.1,63,"17,201",Martin Ødegaard,4-3-3,Tim Robinson,15,4,26.7,0.07,0.25,15.2,0,0,0,1.6,1.6,0.11,-0.6,-0.6,9,1,11.1,0.00,0.00,13.9,0,0,0,1.1,1.1,0.14,-1.1,-1.1,28,25,2,0,0,1,0,2,2,0,0,0,0,0,16,12,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,7,8,3,27,5,5,0,0,0,46,20,23,46.5,1,0,0,9,6,2,9,11,9,0,0,0,48,23,20,53.5
Arsenal,18bb7c10,Matchweek 14,Sat,2023-12-02,EPL,Home,W,Wolves,2,1,2.8,0.7,57,"60,262",Martin Ødegaard,4-3-3,Peter Bankes,19,6,31.6,0.11,0.33,15.6,0,0,0,2.8,2.8,0.15,-0.8,-0.8,6,3,50.0,0.17,0.33,10.8,0,0,0,0.7,0.7,0.12,+0.3,+0.3,33,27,1,1,3,1,0,4,3,0,1,0,0,0,10,5,1,2,0,1,1,1,0,0,0,0,0,1,1,0,0,10,8,3,15,12,8,0,0,0,45,9,11,45.0,2,0,0,10,9,0,8,8,10,0,0,0,45,11,9,55.0
Arsenal,18bb7c10,Matchweek 15,Tue,2023-12-05,EPL,Away,W,Luton Town,4,3,2.2,0.5,66,"11,031",Martin Ødegaard,4-3-3,Samuel Barrott,23,9,39.1,0.17,0.44,15.5,0,0,0,2.2,2.2,0.10,+1.8,+1.8,6,4,66.7,0.50,0.75,18.8,0,0,0,0.5,0.5,0.08,+2.5,+2.5,42,33,2,2,3,1,1,8,7,1,0,0,0,0,9,4,2,1,1,0,1,6,2,2,1,1,0,0,1,0,0,7,14,4,25,6,5,0,0,0,51,19,19,50.0,2,0,0,14,7,1,12,8,12,0,0,0,51,19,19,50.0
Arsenal,18bb7c10,Matchweek 16,Sat,2023-12-09,EPL,Away,L,Aston Villa,0,1,1.4,0.6,61,"42,000",Martin Ødegaard,4-3-3,Jarred Gillett,12,3,25.0,0.00,0.00,14.8,1,0,0,1.4,1.4,0.12,-1.4,-1.4,10,3,30.0,0.10,0.33,20.8,1,0,0,0.6,0.6,0.06,+0.4,+0.4,24,21,1,0,0,1,1,0,0,0,0,0,0,0,14,11,0,0,1,1,1,2,2,0,0,0,0,0,2,0,0,11,16,4,10,4,18,0,0,0,63,8,4,66.7,4,0,0,16,10,1,9,13,17,0,0,0,46,4,8,33.3
Arsenal,18bb7c10,Matchweek 17,Sun,2023-12-17,EPL,Home,W,Brighton,2,0,2.3,0.7,49,"60,257",Martin Ødegaard,4-3-3,Tim Robinson,26,8,30.8,0.08,0.25,14.2,0,0,0,2.3,2.3,0.09,-0.3,-0.3,6,1,16.7,0.00,0.00,16.9,0,0,0,0.7,0.7,0.11,-0.7,-0.7,46,38,3,4,1,0,0,2,2,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,9,1,18,11,7,0,0,0,36,8,10,44.4,3,0,0,9,10,1,10,3,7,0,0,0,31,10,8,55.6
Arsenal,18bb7c10,Matchweek 18,Sat,2023-12-23,EPL,Away,D,Liverpool,1,1,0.7,1.0,48,"57,548",Martin Ødegaard,4-3-3,Chris Kavanagh,13,2,15.4,0.08,0.50,17.2,0,0,0,0.7,0.7,0.06,+0.3,+0.3,13,3,23.1,0.08,0.33,20.1,1,0,0,1.0,1.0,0.07,0.0,0.0,23,17,2,2,1,1,0,2,0,1,0,0,1,0,24,18,2,1,1,1,1,2,1,0,1,0,0,0,5,0,0,14,13,1,16,11,14,0,0,0,61,4,15,21.1,2,0,0,13,13,1,19,5,21,0,0,0,54,15,4,78.9
Arsenal,18bb7c10,Matchweek 19,Thu,2023-12-28,EPL,Home,L,West Ham,0,2,2.7,1.4,73,"60,261",Martin Ødegaard,4-3-3,Michael Oliver,30,8,26.7,0.00,0.00,16.8,0,0,0,2.7,2.7,0.10,-2.7,-2.7,5,2,40.0,0.40,1.00,17.4,0,0,1,1.4,0.6,0.13,+0.6,+1.4,58,51,2,0,5,0,0,0,0,0,0,0,0,0,8,4,2,1,0,1,0,4,3,1,0,0,0,0,2,0,0,8,8,0,30,6,7,0,1,0,50,17,12,58.6,0,0,0,8,7,1,8,8,11,1,0,0,43,12,17,41.4
Arsenal,18bb7c10,Matchweek 20,Sun,2023-12-31,EPL,Away,L,Fulham,1,2,1.6,1.2,60,"24,444",Martin Ødegaard,4-3-3,Joshua Smith,13,3,23.1,0.08,0.33,15.4,1,0,0,1.6,1.6,0.13,-0.6,-0.6,15,4,26.7,0.13,0.50,18.2,1,0,0,1.2,1.2,0.08,+0.8,+0.8,23,18,0,2,1,2,0,1,0,0,0,1,0,0,22,11,2,2,5,1,1,3,2,0,0,1,0,0,1,0,0,10,11,0,20,7,9,0,0,0,49,10,10,50.0,4,0,0,11,8,4,19,17,6,0,0,0,48,10,10,50.0
