match_id,home_team,away_team,date,season,temporal_weight,home_form_win_rate,home_form_draw_rate,home_form_goals_scored,home_form_goals_conceded,away_form_win_rate,away_form_draw_rate,away_form_goals_scored,away_form_goals_conceded,home_overall_win_rate,away_overall_win_rate,h2h_matches,h2h_home_win_rate,h2h_draw_rate,h2h_avg_goals,ref_avg_yellow,ref_avg_red,odds_home,odds_draw,odds_away,odds_over25,target_result,target_home_goals,target_away_goals,target_total_goals,target_home_cards,target_away_cards,target_total_cards
39,Arsenal,Tottenham,2019-09-01,1920,0.5657242734374999,1.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,0.6666666666666666,0.3333333333333333,0,0.33,0.33,0.0,2.6666666666666665,0.0,2.38,3.63,2.9,1.57,D,2,2,4,3,5,8
40,Tottenham,Crystal Palace,2019-09-14,1920,0.5657242734374999,0.5,0.0,1.5,1.0,0.5,0.0,1.0,1.0,0.25,0.5,0,0.33,0.33,0.0,1.5,0.0,1.39,5.0,8.24,1.64,H,4,0,4,4,2,6
41,Wolves,Chelsea,2019-09-14,1920,0.5657242734374999,0.0,1.0,1.0,1.0,0.5,0.0,1.5,3.0,0.0,0.25,0,0.33,0.33,0.0,2.5,0.0,2.97,3.36,2.46,1.97,A,2,5,7,1,2,3
42,Sheffield United,Southampton,2019-09-14,1920,0.5657242734374999,0.5,0.0,1.0,1.0,0.5,0.0,1.0,1.5,0.25,0.25,0,0.33,0.33,0.0,5.0,0.0,2.46,3.26,3.06,2.18,A,0,1,1,2,1,3
43,Norwich,Man City,2019-09-14,1920,0.5657242734374999,0.5,0.0,2.5,2.0,1.0,0.0,4.0,0.5,0.25,0.75,0,0.33,0.33,0.0,4.333333333333333,0.6666666666666666,17.04,9.03,1.15,1.23,H,3,2,5,3,1,4
44,Brighton,Burnley,2019-09-14,1920,0.5657242734374999,0.0,0.5,0.5,1.5,0.0,0.5,1.0,1.5,0.25,0.25,0,0.33,0.33,0.0,2.6666666666666665,0.0,2.15,3.34,3.62,2.09,D,1,1,2,0,2,2
45,Liverpool,Newcastle,2019-09-14,1920,0.5657242734374999,1.0,0.0,3.5,1.0,0.5,0.0,1.0,1.5,1.0,0.25,0,0.33,0.33,0.0,3.0,0.0,1.15,8.27,19.45,1.42,H,3,1,4,0,0,0
46,Man United,Leicester,2019-09-14,1920,0.5657242734374999,0.5,0.0,2.5,1.0,0.5,0.5,1.5,1.0,0.25,0.5,0,0.33,0.33,0.0,4.0,0.0,1.94,3.55,4.12,1.85,H,1,0,1,1,2,3
47,Bournemouth,Everton,2019-09-15,1920,0.5657242734374999,0.0,0.5,1.0,2.0,0.0,0.5,0.0,1.0,0.25,0.5,0,0.33,0.33,0.0,4.5,0.0,3.01,3.48,2.37,1.75,H,3,1,4,0,4,4
48,Watford,Arsenal,2019-09-15,1920,0.5657242734374999,0.0,0.0,0.5,3.0,0.5,0.0,1.0,1.5,0.0,0.5,0,0.33,0.33,0.0,4.0,0.25,3.64,3.74,2.01,1.57,D,2,2,4,3,3,6
